back_camera,front_camera,resolution_1,resolution_2,screen_size,battery,price,sales,quarter
16.00,25.00,1080,2340,6.42,3400.00,1938.00,716.00,4
12.00,7.00,1125,2436,5.80,2716.00,1140.00,716.00,4
12.00,7.00,2732 ,2048,12.90,10891.00,1026.00,716.00,3
19.00,13.00,3840 ,2160,5.80,3540.00,1026.00,721.84,3
8.00,1.20,2048,2732,12.90,10307.00,969.00,716.00,1
12.00,8.00,1440,2880,6.00,3500.00,912.00,716.00,1
19.00,5.00,1080,2160,5.70,3180.00,912.00,730.00,1
12.00,7.00,1080,1920,5.50,2691.00,877.80,716.00,2
16.00,25.00,1080 ,2340,6.42,3730.00,877.80,716.00,2
12.00,8.00,1440,2880,6.00,3930.00,855.00,716.00,2
12.00,7.00,750 ,1334,4.70,1821.00,798.00,1253.00,4
12.00,8.00,1080 ,2316,6.59,4000.00,798.00,1277.50,4
12.00,16.00,1440,2560,5.46,4080.00,798.00,1277.50,4
12.00,7.00,1080 ,1920,5.50,2900.00,786.60,1253.00,4
12.00,5.00,1536 ,2048,9.70,7306.00,786.60,1253.00,4
16.00,16.00,1080 ,1920,5.70,4000.00,775.20,1277.50,3
13.00,16.00,1080 ,1920,5.20,3000.00,729.60,1277.50,3
12.00,5.00,1440,2560,5.50,2730.00,718.20,1253.00,3
12.00,8.00,1440,2960,6.20,3500.00,706.80,1253.00,3
16.00,8.00,1440,2560,5.43,3600.00,695.40,1277.50,3
19.00,5.00,1080 ,2160,5.00,2870.00,684.00,1262.99,3
12.00,8.00,1080 ,2316,6.59,4000.00,684.00,1277.50,3
20.00,20.00,1080 ,2160,6.43,4000.00,661.20,1253.00,3
16.00,20.00,1080 ,1920,5.88,4000.00,661.20,1277.50,3
16.00,16.00,1080 ,1920,6.00,4000.00,649.80,1253.00,3
12.00,7.00,750 ,1334,4.70,1960.00,627.00,1253.00,3
16.00,16.00,1080 ,1920,6.00,4120.00,627.00,1253.00,3
16.00,16.00,1080 ,1920,5.50,3000.00,627.00,1253.00,3
16.00,5.00,1440,2560,5.70,3000.00,627.00,1253.00,3
12.00,12.00,1080 ,2160,6.43,3900.00,627.00,1277.50,3
12.00,12,1080 ,2280,6.28,3200.00,627.00,1277.50,1
13.00,1.90,1080 ,1920,5.00,2500.00,615.60,1253.00,1
13.00,5.00,1536 ,2048,9.70,6000.00,615.60,1253.00,1
16.00,5.00,1440,2560,5.70,3000.00,604.20,1253.00,1
16.00,5.00,1440,2560,5.70,3000.00,604.20,1253.00,1
19.00,13.00,3840 ,2160,5.46,3230.00,604.20,1258.64,1
16.00,8.00,1440,2560,5.43,3600.00,592.80,1277.50,1
16.00,20.00,1080 ,2280,6.28,3430.00,581.40,1253.00,1
5.00,1.20,1536 ,2048,9.70,11560.00,570.00,1253.00,1
12.00,5.00,750 ,1334,4.70,1715.00,570.00,1253.00,1
12.00,5.00,1080 ,2160,6.00,3930.00,570.00,1253.00,1
20.00,20.00,1080 ,1920,6.00,4000.00,570.00,1253.00,1
16.00,5.00,1440 ,2560,5.10,2600.00,570.00,1253.00,1
23.00,5.10,2160 ,3840,5.50,3430.00,570.00,1275.70,1
8.00,5.10,2560 ,1600,10.10,6000.00,570.00,1276.12,1
12.00,20.00,1080 ,2248,6.21,3000.00,570.00,1277.50,1
12.00,16.00,1440 ,2560,5.50,3000.00,558.60,1253.00,1
21.00,4.00,1440 ,2560,5.20,2840.00,547.20,1253.00,1
16.00,16.00,1080 ,1920,6.00,4000.00,547.20,1253.00,1
12.00,5.00,1080 ,1920,5.50,2750.00,535.80,1253.00,1
13.00,5.00,1080 ,1920,5.50,2300.00,535.80,1277.50,2
16.00,20.00,1080 ,2280,6.28,3450.00,524.40,1253.00,2
16.00,25.00,1080 ,2280,6.40,3500.00,524.40,1253.00,2
19.00,13.00,1080 ,1920,5.20,2700.00,524.40,1264.98,2
12.00,5.00,1080 ,2160,5.99,3400.00,524.40,1277.50,2
16.00,20.00,1080 ,1920,5.50,3050.00,524.40,1277.50,2
20.00,20.00,1080 ,2160,6.01,3200.00,513.00,1253.00,2
16.00,16.00,1080 ,1920,5.50,3010.00,513.00,1253.00,2
12.00,5.00,1440 ,2560,5.50,3600.00,513.00,1253.00,2
12.00,8.00,1440 ,2960,5.80,3000.00,513.00,1253.00,2
23.00,5.10,2160 ,3840,5.50,3430.00,513.00,1277.50,2
20.00,20.00,1080 ,2160,5.99,4000.00,513.00,1277.50,2
12.00,12.00,1080 ,2280,6.28,3200.00,513.00,1277.50,2
12.00,12.00,1080 ,2160,6.43,3900.00,513.00,1277.50,2
16.00,20.00,1080 ,1920,5.50,3160.00,513.00,1277.50,2
8.00,1.20,1536 ,2048,9.70,7340.00,501.60,1253.00,2
13.00,5.00,1440 ,2560,5.50,3000.00,501.60,1253.00,2
16.00,8.00,1080 ,1920,5.70,3300.00,501.60,1253.00,2
19.00,13.00,1080 ,1920,5.20,2900.00,501.60,1258.91,2
13.00,5.00,1080 ,1920,5.50,4150.00,501.60,1277.50,2
12.00,8.00,1080 ,2160,6.01,3000.00,490.20,1611.00,4
13.00,8.00,1080 ,1920,6.00,4100.00,490.20,1611.00,4
13.00,13.00,1080 ,1920,5.90,3610.00,490.20,1611.00,4
16.00,16.00,1080 ,1920,6.00,4000.00,490.20,1611.00,4
13.00,5.00,1080 ,1920,5.50,2300.00,490.20,1642.50,4
12.00,24.00,1080 ,2280,6.28,3425.00,490.20,1642.50,4
8.00,1.20,1080 ,1920,5.50,2915.00,478.80,1611.00,4
2.00,16.00,240 ,320,2.80,1350.00,478.80,1611.00,4
13.00,5.00,1080 ,1920,5.00,2600.00,478.80,1611.00,4
13.00,2.00,1440,2560,5.96,3220.00,478.80,1611.00,4
16.00,5.00,1440 ,2560,5.10,2550.00,467.40,1611.00,4
19.00,8.00,720 ,1280,4.60,2700.00,467.40,1626.23,4
12.00,5.00,1080 ,2160,5.99,3400.00,467.40,1642.50,4
16.00,8.00,1080 ,1920,5.70,3000.00,467.40,1642.50,4
5.00,1.20,1536 ,2048,7.90,6470.00,456.00,1611.00,4
12.00,5.00,1080 ,1920,5.50,3000.00,456.00,1611.00,4
20.00,20.00,1080 ,1920,5.50,3000.00,456.00,1611.00,4
13.00,5.00,1080 ,1920,5.20,2000.00,456.00,1611.00,4
13.00,8.00,1080 ,1920,6.00,4000.00,456.00,1611.00,4
16.00,5.00,1440 ,2560,5.10,2550.00,456.00,1611.00,4
8.00,2.10,1536 ,2048,9.70,5870.00,456.00,1611.00,4
8.00,2.10,1536 ,2048,8.00,4000.00,456.00,1611.00,4
16.00,8.00,1080 ,1920,6.00,5000.00,456.00,1611.00,4
20.00,2.20,1080 ,1920,5.20,3100.00,456.00,1623.64,4
8.00,5.10,2560 ,1600,10.10,6000.00,456.00,1623.83,4
23.00,5.10,1080 ,1920,5.20,2900.00,456.00,1624.14,4
8.00,1.20,1536 ,2048,9.70,8827.00,444.60,1611.00,4
16.00,16.00,1080 ,1920,5.70,3600.00,444.60,1611.00,4
23.00,5.10,720 ,1280,4.60,2700.00,444.60,1626.30,4
